,date,timestamp,strategy,initial_value,current_value,return,num_positions
8,2026-06-09T00:00:00.000,2026-06-09 14:38:21 UTC,SPY_benchmark_for_V12,10000,9978.932255933114,-0.0021067744066886,1
12,2026-06-09T00:00:00.000,2026-06-09 14:41:01 UTC,SPY_benchmark_for_V12,10000,9978.796674289097,-0.0021203325710905,1
16,2026-06-09T00:00:00.000,2026-06-09 15:06:40 UTC,SPY_benchmark_for_V12,10000,9926.829462696518,-0.0073170537303481,1
9,2026-06-09T00:00:00.000,2026-06-09 14:38:21 UTC,SPY_benchmark_for_V13,10000,9978.932255933114,-0.0021067744066886,1
13,2026-06-09T00:00:00.000,2026-06-09 14:41:01 UTC,SPY_benchmark_for_V13,10000,9978.796674289097,-0.0021203325710905,1
17,2026-06-09T00:00:00.000,2026-06-09 15:06:40 UTC,SPY_benchmark_for_V13,10000,9926.829462696518,-0.0073170537303481,1
10,2026-06-09T00:00:00.000,2026-06-09 14:38:21 UTC,V12_champion,9999.999999999998,9984.72450522083,-0.0015275494779167,20
14,2026-06-09T00:00:00.000,2026-06-09 14:41:01 UTC,V12_champion,9999.999999999998,9972.804549780318,-0.002719545021968,20
18,2026-06-09T00:00:00.000,2026-06-09 15:06:40 UTC,V12_champion,9999.999999999998,9833.092674063591,-0.0166907325936405,20
11,2026-06-09T00:00:00.000,2026-06-09 14:38:21 UTC,V13_defensive,10000.000000000002,9991.878526988385,-0.0008121473011617,19
15,2026-06-09T00:00:00.000,2026-06-09 14:41:01 UTC,V13_defensive,10000.000000000002,9989.80398461994,-0.001019601538006,19
19,2026-06-09T00:00:00.000,2026-06-09 15:06:40 UTC,V13_defensive,10000.000000000002,9916.280956217806,-0.0083719043782195,19
0,2026-06-08T00:00:00.000,2026-06-08 21:31:08 UTC,SPY_benchmark_for_V12,10000,9952.004919723751,-0.0047995080276248,1
4,2026-06-08T00:00:00.000,2026-06-08 21:46:22 UTC,SPY_benchmark_for_V12,10000,9952.004919723751,-0.0047995080276248,1
1,2026-06-08T00:00:00.000,2026-06-08 21:31:08 UTC,SPY_benchmark_for_V13,10000,9952.004919723751,-0.0047995080276248,1
5,2026-06-08T00:00:00.000,2026-06-08 21:46:22 UTC,SPY_benchmark_for_V13,10000,9952.004919723751,-0.0047995080276248,1
2,2026-06-08T00:00:00.000,2026-06-08 21:31:08 UTC,V12_champion,9999.999999999998,10064.38057673472,0.0064380576734721,20
6,2026-06-08T00:00:00.000,2026-06-08 21:46:22 UTC,V12_champion,9999.999999999998,10064.38057673472,0.0064380576734721,20
3,2026-06-08T00:00:00.000,2026-06-08 21:31:08 UTC,V13_defensive,10000.000000000002,10014.702265346446,0.0014702265346444,19
7,2026-06-08T00:00:00.000,2026-06-08 21:46:22 UTC,V13_defensive,10000.000000000002,10014.702265346446,0.0014702265346444,19
