,date,timestamp,strategy,initial_value,current_value,return,num_positions,plot_time
68,2026-06-10,2026-06-10 13:36:41 UTC,SPY_benchmark_for_V12,10000,9876.075090537724,-0.0123924909462275,1,2026-06-10T13:36:41.000Z
69,2026-06-10,2026-06-10 13:36:41 UTC,SPY_benchmark_for_V13,10000,9876.075090537724,-0.0123924909462275,1,2026-06-10T13:36:41.000Z
70,2026-06-10,2026-06-10 13:36:41 UTC,V12_champion,9999.999999999998,9699.193804941464,-0.0300806195058533,20,2026-06-10T13:36:41.000Z
71,2026-06-10,2026-06-10 13:36:41 UTC,V13_defensive,10000.000000000002,9872.288504345695,-0.0127711495654304,19,2026-06-10T13:36:41.000Z
64,2026-06-09,2026-06-09 17:53:27 UTC,SPY_benchmark_for_V12,10000,9860.862008371714,-0.0139137991628285,1,2026-06-09T17:53:27.000Z
65,2026-06-09,2026-06-09 17:53:27 UTC,SPY_benchmark_for_V13,10000,9860.862008371714,-0.0139137991628285,1,2026-06-09T17:53:27.000Z
66,2026-06-09,2026-06-09 17:53:27 UTC,V12_champion,9999.999999999998,9524.41015246464,-0.0475589847535357,20,2026-06-09T17:53:27.000Z
67,2026-06-09,2026-06-09 17:53:27 UTC,V13_defensive,10000.000000000002,9842.125762834048,-0.0157874237165953,19,2026-06-09T17:53:27.000Z
60,2026-06-09,2026-06-09 16:53:19 UTC,SPY_benchmark_for_V12,10000,9748.312809696208,-0.0251687190303792,1,2026-06-09T16:53:19.000Z
61,2026-06-09,2026-06-09 16:53:19 UTC,SPY_benchmark_for_V13,10000,9748.312809696208,-0.0251687190303792,1,2026-06-09T16:53:19.000Z
62,2026-06-09,2026-06-09 16:53:19 UTC,V12_champion,9999.999999999998,9233.63999766772,-0.0766360002332278,20,2026-06-09T16:53:19.000Z
63,2026-06-09,2026-06-09 16:53:19 UTC,V13_defensive,10000.000000000002,9718.984456826118,-0.0281015543173883,19,2026-06-09T16:53:19.000Z
56,2026-06-09,2026-06-09 16:46:40 UTC,SPY_benchmark_for_V12,10000,9753.159237189731,-0.0246840762810266,1,2026-06-09T16:46:40.000Z
57,2026-06-09,2026-06-09 16:46:40 UTC,SPY_benchmark_for_V13,10000,9753.159237189731,-0.0246840762810266,1,2026-06-09T16:46:40.000Z
58,2026-06-09,2026-06-09 16:46:40 UTC,V12_champion,9999.999999999998,9255.183275744688,-0.074481672425531,20,2026-06-09T16:46:40.000Z
59,2026-06-09,2026-06-09 16:46:40 UTC,V13_defensive,10000.000000000002,9717.67123408225,-0.028232876591775,19,2026-06-09T16:46:40.000Z
52,2026-06-09,2026-06-09 16:18:47 UTC,SPY_benchmark_for_V12,10000,9790.65290285641,-0.020934709714359,1,2026-06-09T16:18:47.000Z
53,2026-06-09,2026-06-09 16:18:47 UTC,SPY_benchmark_for_V13,10000,9790.65290285641,-0.020934709714359,1,2026-06-09T16:18:47.000Z
54,2026-06-09,2026-06-09 16:18:47 UTC,V12_champion,9999.999999999998,9359.377934094624,-0.0640622065905374,20,2026-06-09T16:18:47.000Z
55,2026-06-09,2026-06-09 16:18:47 UTC,V13_defensive,10000.000000000002,9748.667530092049,-0.0251332469907953,19,2026-06-09T16:18:47.000Z
48,2026-06-09,2026-06-09 16:07:00 UTC,SPY_benchmark_for_V12,10000,9821.146447156972,-0.0178853552843027,1,2026-06-09T16:07:00.000Z
